City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,leningradskiy,69.38,178.42,-6.9,100,100,6.4,RU,1579375442
288,banda aceh,5.56,95.32,72.84,95,0,5.41,ID,1579375442
289,ust-nera,64.57,143.2,-43.46,100,95,2.01,RU,1579375442
290,srednekolymsk,67.45,153.68,-19.8,98,95,2.82,RU,1579375443
291,buchanan,5.88,-10.05,84.2,79,20,3.36,LR,1579375443
292,poretskoye,55.2,46.33,32.09,96,100,6.08,RU,1579375443
293,kaeo,-35.1,173.78,62.01,100,0,1.99,NZ,1579375443
294,bow island,49.87,-111.37,-9.0,57,20,6.93,CA,1579375443
295,sovik,65.93,12.47,41.0,75,93,17.22,NO,1579375444
296,madimba,-10.4,40.33,82.4,83,75,20.8,TZ,1579375444
297,vardo,70.37,31.11,24.28,76,3,10.76,NO,1579375444
298,klaksvik,62.23,-6.59,41.0,75,0,12.75,FO,1579375444
299,saint-augustin,51.23,-58.65,-1.14,80,0,17.76,CA,1579375444
300,buraydah,26.33,43.98,60.8,55,13,9.17,SA,1579375445
301,hualmay,-11.1,-77.61,77.68,61,30,10.74,PE,1579375445
302,quatre cocos,-20.21,57.76,80.6,88,40,6.93,MU,1579375445
303,ranong,9.97,98.63,78.01,83,4,3.98,TH,1579375445
304,gawler,-34.6,138.73,63.0,72,75,11.41,AU,1579375445
305,haines junction,60.75,-137.51,-27.22,98,84,7.29,CA,1579375445
306,omagari,39.45,140.48,26.8,77,45,1.79,JP,1579375446
307,robertsport,6.75,-11.37,82.11,82,0,15.79,LR,1579375446
308,itoman,26.12,127.67,60.8,55,75,8.05,JP,1579375446
309,maues,-3.38,-57.72,84.06,86,98,4.09,BR,1579375446
310,prince george,53.92,-122.75,-2.99,83,75,2.24,CA,1579375315
311,ekibastuz,51.67,75.37,19.96,87,100,16.17,KZ,1579375446
312,chute-aux-outardes,49.12,-68.4,1.0,49,1,8.05,CA,1579375447
313,dunedin,-45.87,170.5,61.0,90,88,1.01,NZ,1579375357
314,laela,-8.57,32.05,61.25,94,100,5.23,TZ,1579375447
315,porto novo,6.5,2.6,84.2,83,20,6.93,BJ,1579375447
316,riachao das neves,-11.75,-44.91,92.21,43,5,3.13,BR,1579375447
317,narsaq,60.92,-46.05,30.2,46,75,44.96,GL,1579375447
318,sakakah,29.97,40.21,51.8,53,20,6.38,SA,1579375448
319,swakopmund,-22.68,14.53,66.99,82,68,5.82,NA,1579375448
320,fairmont,39.49,-80.14,46.4,87,90,5.82,US,1579375448
321,raudeberg,61.99,5.14,41.0,80,100,33.33,NO,1579375448
322,peterhead,57.51,-1.8,44.01,65,7,12.75,GB,1579375449
323,hambantota,6.12,81.12,77.0,100,20,6.93,LK,1579375449
324,hovd,48.01,91.64,4.23,58,9,4.72,MN,1579375449
325,kudat,6.88,116.85,80.6,88,75,3.36,MY,1579375449
326,camopi,3.17,-52.32,83.25,75,32,5.79,GF,1579375449
327,olinda,-8.01,-34.86,86.0,66,40,10.29,BR,1579375449
328,goderich,43.75,-81.72,35.01,83,100,7.0,CA,1579375450
329,hasaki,35.73,140.83,37.4,74,75,3.36,JP,1579375450
330,makurdi,7.74,8.51,86.36,18,32,4.85,NG,1579375450
331,sinnamary,5.38,-52.95,80.74,78,23,14.03,GF,1579375450
332,ambalavao,-21.83,46.93,67.14,93,52,3.06,MG,1579375450
333,vila franca do campo,37.72,-25.43,62.6,100,75,5.82,PT,1579375451
